book0	3.76	3.68	3.87	3.89	4.10	4.13	4.36	4.40	4.51	4.40	4.36	4.13	4.10	3.89	3.87	3.68	3.76
book1	4.00	4.00	3.87	3.89	4.10	4.13	4.36	4.40	4.51	4.40	4.36	4.13	4.10	3.89	3.87	4.00	4.00
book2	4.00	4.00	3.88	3.88	4.12	4.12	4.38	4.38	4.51	4.38	4.38	4.12	4.12	3.88	3.88	4.00	4.00
book3	4.00	4.00	4.10	4.21	4.33	4.46	4.59	4.73	4.74	4.73	4.59	4.46	4.33	4.21	4.10	4.00	4.00
book4	4.00	4.00	4.16	4.16	4.40	4.40	4.66	4.66	4.74	4.66	4.66	4.40	4.40	4.16	4.16	4.00	4.00
Taper_A_0reg	3.76	3.68	3.76	3.68	3.76	3.68	3.76	3.68	4.51	3.68	3.76	3.68	3.76	3.68	3.76	3.68	3.76
Taper_B	4.00	4.00	4.00	4.00	4.00	4.00	4.00	4.00	4.51	4.00	4.00	4.00	4.00	4.00	4.00	4.00	4.00
Taper_C	3.61	3.52	3.70	3.72	3.93	3.96	4.17	4.22	4.32	4.22	4.17	3.96	3.93	3.72	3.70	3.52	3.61
Taper_D_Creg	3.61	3.52	3.61	3.52	3.61	3.52	3.61	3.52	4.32	3.52	3.61	3.52	3.61	3.52	3.61	3.52	3.61
no_taper_0	4.00	4.00							4.74							4.00	4.00
no_taper_1	4.00	4.00							4.51							4.00	4.00
no_taper_2	4.00	4.00							4.32							4.00	4.00
no_taper_3	4.00	4.00							4.00							4.00	4.00
no_taper_4	4.00	4.00							1.00							4.00	4.00
