frequency, decay constant, Q, amplitude, phase, error
1.66652, 2.794747e-04, 18733.4, 0.000107012, -1.67512, 9.238677e-08
1.67002, -4.297114e-04, -12209.4, 0.00016069, 1.20241, 6.133592e-07
1.67338, -3.980757e-04, -13206.2, 0.000133939, 1.42878, 3.240943e-07
1.67629, 9.150609e-04, 5755.05, 0.000701285, -2.61851, 9.755299e-07
1.68012, 1.304729e-04, 40454.9, 4.27372e-05, -1.57163, 5.523796e-08
1.6835, -3.324662e-03, -1590.8, 0.00093799, 1.77892, 1.214235e-06
1.68685, -1.608991e-04, -32936.2, 0.00011822, 0.599525, 4.300302e-07
1.69026, -1.547087e-03, -3432.32, 0.000506512, 1.17531, 5.255810e-07
1.69362, -1.747572e-03, -3044.61, 0.000628661, 1.48798, 5.669285e-07
1.69669, 2.915374e-04, 18283.5, 0.000178354, -1.93126, 8.895082e-08
1.70056, -6.961958e-04, -7673.82, 0.000855549, 0.535496, 6.394211e-07
1.70342, -7.528518e-04, -7108.25, 0.00124185, -3.05533, 9.365650e-07
1.70676, -1.791339e-03, -2993.25, 0.000922072, 2.34588, 4.889139e-07
1.70961, -1.126525e-03, -4767.67, 0.00201773, -2.38604, 9.495620e-07
1.7136, 9.643436e-03, 558.249, 0.00915058, -0.488417, 9.664733e-07
1.71674, 4.215906e-04, 12792.7, 0.000368624, -0.333919, 7.243324e-08
1.72009, 1.880867e-03, 2873.05, 0.00256504, -0.591258, 1.166728e-06
1.7231, -3.148742e-03, -1719.18, 0.00268399, -0.962597, 1.603935e-06
1.72761, 1.735726e-04, 31269, 0.000110076, 2.14427, 4.733274e-08
1.73007, -4.781638e-03, -1136.67, 0.00269672, 0.568218, 9.211856e-07
1.73419, -4.891464e-04, -11138, 0.000425135, -0.258639, 1.492122e-07
1.737, 4.024775e-04, 13558.4, 0.00125257, 2.55939, 5.410350e-07
1.74089, -1.318167e-03, -4149.07, 0.000777277, 0.490548, 1.827300e-07
1.74383, -3.027395e-03, -1809.61, 0.00183308, 1.87402, 5.071454e-07
1.74742, 4.591731e-04, 11955.6, 0.000550828, -2.66845, 2.827564e-07
1.75075, -3.961484e-04, -13884, 0.000224911, 1.59245, 7.758771e-08
1.75426, -3.212238e-04, -17156.7, 0.000227921, 0.970189, 6.172666e-08
1.75732, -7.564236e-04, -7298.53, 0.000480337, 2.64865, 1.432140e-07
1.76081, -1.404104e-03, -3939.69, 0.000802879, 2.66729, 1.792571e-07
1.76412, -9.795905e-05, -56576.1, 6.66479e-09, 2.33363, 9.419366e-08
1.76772, -3.266698e-05, -170003, 7.78681e-07, -1.79893, 1.772098e-08
1.77081, 1.864172e-03, 2984.26, 0.00172743, 0.287261, 1.294135e-07
1.77456, 5.265155e-04, 10588.4, 0.00169323, 1.48938, 1.061956e-07
1.77805, 4.196149e-04, 13312, 0.00120284, 0.151917, 2.622380e-08
1.78092, 1.498178e-03, 3734.48, 0.00604324, 0.232303, 5.549242e-08
1.78484, 3.611882e-04, 15524.5, 0.0298345, 2.37685, 1.925905e-08
1.78791, -4.163189e-04, -13491.8, 0.0253626, -0.272326, 1.192073e-08
1.79038, -2.166282e-03, -2596.45, 0.0950451, 2.33796, 3.637347e-08
1.79462, 7.612388e-04, 7406.3, 0.00500615, -1.97506, 2.166301e-08
1.79798, 1.393490e-03, 4053.5, 0.00772135, -2.31005, 6.596334e-08
